Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
O76014,sp|O76014|KRT37_HUMAN;CON__O76014,0,0,1,,,,,,
P13645,CON__P13645;sp|P13645|K1C10_HUMAN,1,3,2,,0.88742,0.56462,,,
P35527,sp|P35527|K1C9_HUMAN;CON__P35527,2,2,1,,,,,,
O43929,sp|O43929|ORC4_HUMAN;CON__Q2YDI2,3,3,3,1.0947,1.0835,0.92832,0.05033684176313604,0.544558547539379,0.6277549923023397
O15197,REV__REV_sp|O43866|CD5L_HUMAN;sp|O15197|EPHB6_HUMAN,1,1,1,,,,,,
Q8TC92,sp|Q8TC92|ENOX1_HUMAN;REV__sp|Q7L590|MCM10_HUMAN;sp|Q96M83|CCDC7_HUMAN;REV__REV_sp|Q9P2E9|RRBP1_HUMAN,0,1,0,,,,,,
Q96M83,sp|Q8TC92|ENOX1_HUMAN;REV__sp|Q7L590|MCM10_HUMAN;sp|Q96M83|CCDC7_HUMAN;REV__REV_sp|Q9P2E9|RRBP1_HUMAN,0,1,0,,,,,,
P48995,sp|P48995|TRPC1_HUMAN;REV__sp|O15399|NMDE4_HUMAN;REV__sp|Q86X10|RLGPB_HUMAN,1,1,1,,,,,,
Q9Y536,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
P0DN26,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
F5H284,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
A0A0B4J2A2,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
A0A075B767,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
A0A075B759,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
P62937,sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|P62937|PPIA_HUMAN,1,0,1,,,,,,
P08865,sp|P08865|RSSA_HUMAN;sp|A0A8I5KQE6|RPSA2_HUMAN,0,0,1,,,,,,
A0A8I5KQE6,sp|P08865|RSSA_HUMAN;sp|A0A8I5KQE6|RPSA2_HUMAN,0,0,1,,,,,,
A0JLT2,sp|A0JLT2|MED19_HUMAN,0,2,2,,1.2023,0.97468,,,
A1L0T0,sp|A1L0T0|HACL2_HUMAN,3,3,6,0.92234,0.98514,0.62961,-0.24178780266315344,0.2317675894325597,0.32535661603217686
Q9Y2G9,sp|Q9Y2G9|SBNO2_HUMAN;sp|A3KN83|SBNO1_HUMAN,1,0,1,,,,,,
A3KN83,sp|Q9Y2G9|SBNO2_HUMAN;sp|A3KN83|SBNO1_HUMAN,1,0,1,,,,,,
A5YKK6,sp|A5YKK6|CNOT1_HUMAN,1,1,7,,,0.74275,,,
P30046,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,0,0,1,,,,,,
A6NHG4,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,0,0,1,,,,,,
A6NHQ2,sp|A6NHQ2|FBLL1_HUMAN,0,1,1,,,,,,
Q7Z3J3,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN,1,1,1,,,,,,
A6NKT7,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN,1,1,1,,,,,,
P0DMR1,sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P07910|HNRPC_HUMAN,1,2,2,,1.1804,1.1641,,,
O60812,sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P07910|HNRPC_HUMAN,1,2,2,,1.1804,1.1641,,,
B7ZW38,sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P07910|HNRPC_HUMAN,1,2,2,,1.1804,1.1641,,,
B2RXH8,sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P07910|HNRPC_HUMAN,1,2,2,,1.1804,1.1641,,,
P07910,sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P07910|HNRPC_HUMAN,1,2,2,,1.1804,1.1641,,,
Q99613,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,9,6,10,1.0236,1.0489,0.85469,-0.035446108523706284,0.7108653715342771,0.7801894325599339
B5ME19,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,9,6,10,1.0236,1.0489,0.85469,-0.035446108523706284,0.7108653715342771,0.7801894325599339
O00139,sp|O00139|KIF2A_HUMAN,0,1,0,,,,,,
O00148,sp|O00148|DX39A_HUMAN,2,1,2,0.71975,0.72326,0.90114,-0.3558976112800094,0.021762017584487887,
O00151,sp|O00151|PDLI1_HUMAN,1,0,0,,,,,,
O00159,sp|O00159|MYO1C_HUMAN,3,1,2,0.35431,0.76291,1.1056,-0.43257137449817606,0.2988076914670792,
O00170,sp|O00170|AIP_HUMAN,4,5,2,2.1946,1.7989,0.60325,0.6156517047922966,0.32819553749781355,0.4315283898981152
O00178,sp|O00178|GTPB1_HUMAN,1,2,3,,0.88432,0.90098,,,
