GO,REFLIST,Upload,Upload_Expected,Over/Under,Fold Enrichment,P-value,FDR,Group
protein localization to nucleolus (GO:1902570),11,3,0.05,+,55.57,1.84e-05,0.00709,biological process
sno(s)RNA metabolic process (GO:0016074),16,3,0.08,+,38.21,6.13e-05,0.0209,biological process
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)",21,3,0.1,+,29.11,0.000143,0.0448,biological process
negative regulation of telomere maintenance via telomerase (GO:0032211),22,3,0.11,+,27.79,0.000165,0.0468,biological process
negative regulation of mRNA processing (GO:0050686),22,3,0.11,+,27.79,0.000165,0.0459,biological process
ribosomal small subunit biogenesis (GO:0042274),107,13,0.53,+,24.76,5.35e-15,3.65e-12,biological process
rRNA processing (GO:0006364),215,21,1.06,+,19.9,1.1500000000000002e-21,1.08e-18,biological process
rRNA metabolic process (GO:0016072),250,22,1.23,+,17.93,1.1400000000000001e-21,1.14e-18,biological process
ribosome biogenesis (GO:0042254),308,26,1.51,+,17.2,4.25e-25,5.33e-22,biological process
RNA splicing (GO:0008380),375,30,1.84,+,16.3,2.66e-28,4e-25,biological process
negative regulation of mRNA metabolic process (GO:1903312),100,8,0.49,+,16.3,3.26e-08,1.63e-05,biological process
"RNA splicing, via transesterification reactions (GO:0000375)",246,19,1.21,+,15.74,1.01e-17,7.96e-15,biological process
ribosomal large subunit biogenesis (GO:0042273),65,5,0.32,+,15.67,1.69e-05,0.00684,biological process
maturation of SSU-rRNA (GO:0030490),53,4,0.26,+,15.38,0.000133,0.0425,biological process
"mRNA splicing, via spliceosome (GO:0000398)",242,18,1.19,+,15.16,1.54e-16,1.15e-13,biological process
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",242,18,1.19,+,15.16,1.54e-16,1.1e-13,biological process
regulation of telomere maintenance via telomere lengthening (GO:1904356),56,4,0.27,+,14.55,0.000165,0.0477,biological process
ribonucleoprotein complex biogenesis (GO:0022613),451,32,2.21,+,14.46,1.4e-28,2.34e-25,biological process
regulation of RNA splicing (GO:0043484),186,13,0.91,+,14.24,7.18e-12,4.32e-09,biological process
spliceosomal complex assembly (GO:0000245),75,5,0.37,+,13.58,3.39e-05,0.0127,biological process
negative regulation of mRNA catabolic process (GO:1902373),78,5,0.38,+,13.06,4.1e-05,0.015,biological process
mRNA processing (GO:0006397),459,29,2.25,+,12.87,2.09e-24,2.42e-21,biological process
regulation of mRNA processing (GO:0050684),132,8,0.65,+,12.35,2.83e-07,0.000125,biological process
RNA processing (GO:0006396),870,52,4.27,+,12.18,2.2e-44,3.31e-40,biological process
negative regulation of RNA catabolic process (GO:1902369),91,5,0.45,+,11.2,8.58e-05,0.028,biological process
"regulation of mRNA splicing, via spliceosome (GO:0048024)",110,6,0.54,+,11.11,1.71e-05,0.00675,biological process
protein-RNA complex assembly (GO:0022618),193,10,0.95,+,10.56,3.82e-08,1.85e-05,biological process
mRNA metabolic process (GO:0016071),613,31,3.01,+,10.3,3.19e-23,3.42e-20,biological process
protein-RNA complex organization (GO:0071826),202,10,0.99,+,10.09,5.87e-08,2.76e-05,biological process
regulation of mRNA metabolic process (GO:1903311),304,13,1.49,+,8.71,3.15e-09,1.75e-06,biological process
RNA biosynthetic process (GO:0032774),1378,58,6.76,+,8.58,1.01e-41,7.6e-38,biological process
nucleic acid biosynthetic process (GO:0141187),1468,59,7.2,+,8.19,1.89e-41,9.45e-38,biological process
RNA metabolic process (GO:0016070),1532,59,7.52,+,7.85,2.14e-40,8.04e-37,biological process
RNA transport (GO:0050658),161,6,0.79,+,7.59,0.000143,0.044,biological process
nucleic acid transport (GO:0050657),161,6,0.79,+,7.59,0.000143,0.0431,biological process
RNA localization (GO:0006403),190,7,0.93,+,7.51,4.24e-05,0.0152,biological process
establishment of RNA localization (GO:0051236),163,6,0.8,+,7.5,0.000153,0.0452,biological process
nucleobase-containing compound biosynthetic process (GO:0034654),1764,59,8.66,+,6.82,6.160000000000001e-37,1.85e-33,biological process
nucleic acid metabolic process (GO:0090304),2158,62,10.59,+,5.85,2.0200000000000002e-35,5.050000000000001e-32,biological process
negative regulation of catabolic process (GO:0009895),360,9,1.77,+,5.09,7.04e-05,0.0235,biological process
gene expression (GO:0010467),2488,61,12.21,+,5.0,8.93e-31,1.92e-27,biological process
nucleobase-containing compound metabolic process (GO:0006139),2725,62,13.37,+,4.64,1.4e-29,2.64e-26,biological process
macromolecule biosynthetic process (GO:0009059),2898,62,14.22,+,4.36,4.58e-28,6.26e-25,biological process
