circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:805799|810170	0.1459	exon	4.000	2.000	0.800	ENSG00000230021.10,ENSG00000230092.7	ENSG00000230021,ENSG00000230092	transcribed_processed_pseudogene,transcribed_unprocessed_pseudogene
chr1:923013|923461	0.0729	intergenic	2.000	80.000	0.048	None	None	None
chr1:925922|939412	0.0365	exon	1.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:925922|943808	0.0729	exon	2.000	57.000	0.066	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|935896	0.0729	exon	2.000	91.000	0.042	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|939460	0.2188	exon	6.000	56.000	0.176	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939412	0.2917	exon	8.000	68.000	0.190	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939460	1.0575	exon	29.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:951127|952600	0.0729	exon	2.000	179.000	0.022	ENSG00000188976.11	NOC2L	protein_coding
chr1:955923|957273	0.1823	exon	5.000	232.000	0.041	ENSG00000188976.11	NOC2L	protein_coding
chr1:961629|962047	0.0365	exon	1.000	31.000	0.061	ENSG00000187961.15	KLHL17	protein_coding
chr1:1022201|1022782	0.0365	intron	1.000	15.000	0.118	ENSG00000188157.15	AGRN	protein_coding
chr1:1022201|1054551	0.0365	exon	1.000	44.000	0.043	ENSG00000188157.15	AGRN	protein_coding
chr1:1218458|1218927	0.0365	exon	1.000	7.000	0.222	ENSG00000078808.19	SDF4	protein_coding
chr1:1218458|1223968	0.0365	exon	1.000	50.000	0.038	ENSG00000078808.19	SDF4	protein_coding
chr1:1223244|1223968	0.3282	exon	9.000	0.000	1.000	ENSG00000078808.19	SDF4	protein_coding
chr1:1223244|1228946	0.2553	exon	7.000	80.000	0.149	ENSG00000078808.19	SDF4	protein_coding
chr1:1256045|1267992	0.2917	exon	8.000	55.000	0.225	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1257310	0.1094	exon	3.000	25.000	0.194	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1263386	0.0365	exon	1.000	21.000	0.087	ENSG00000160087.21	UBE2J2	protein_coding
