Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
P13645,CON__P13645;sp|P13645|K1C10_HUMAN,";sp|P13645|K1C10_HUMAN;Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",1,1,4,,,0.31961,,,
P35527,sp|P35527|K1C9_HUMAN;CON__P35527,"sp|P35527|K1C9_HUMAN;Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;",0,0,4,,,0.36431,,,
P35908,sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908,"sp|P35908|K22E_HUMAN;Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;",0,1,0,,,,,,
Q14525,sp|Q14525|KT33B_HUMAN;CON__Q14525;sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323,"sp|Q14525|KT33B_HUMAN;Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3;;sp|Q15323|K1H1_HUMAN;Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3;;",0,0,0,,,,,,
Q15323,sp|Q14525|KT33B_HUMAN;CON__Q14525;sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323,"sp|Q14525|KT33B_HUMAN;Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3;;sp|Q15323|K1H1_HUMAN;Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3;;",0,0,0,,,,,,
Q9BXL6,REV__REV_sp|Q86UP2|KTN1_HUMAN;sp|Q9BXL6|CAR14_HUMAN;sp|Q5M775|CYTSB_HUMAN,REV_sp|Q86UP2|KTN1_HUMAN;_REV8285;sp|Q9BXL6|CAR14_HUMAN;Caspase recruitment domain-containing protein 14 OS=Homo sapiens OX=9606 GN=CARD14 PE=1 SV=2;sp|Q5M775|CYTSB_HUMAN;Cytospin-B OS=Homo sapiens OX=9606 GN=SPECC1 PE=1 SV=1,0,0,0,,,,,,
Q5M775,REV__REV_sp|Q86UP2|KTN1_HUMAN;sp|Q9BXL6|CAR14_HUMAN;sp|Q5M775|CYTSB_HUMAN,REV_sp|Q86UP2|KTN1_HUMAN;_REV8285;sp|Q9BXL6|CAR14_HUMAN;Caspase recruitment domain-containing protein 14 OS=Homo sapiens OX=9606 GN=CARD14 PE=1 SV=2;sp|Q5M775|CYTSB_HUMAN;Cytospin-B OS=Homo sapiens OX=9606 GN=SPECC1 PE=1 SV=1,0,0,0,,,,,,
P48995,sp|P48995|TRPC1_HUMAN;REV__sp|O15399|NMDE4_HUMAN;REV__sp|Q86X10|RLGPB_HUMAN,"sp|P48995|TRPC1_HUMAN;Short transient receptor potential channel 1 OS=Homo sapiens OX=9606 GN=TRPC1 PE=1 SV=1;sp|O15399|NMDE4_HUMAN;Glutamate receptor ionotropic, NMDA 2D OS=Homo sapiens OX=9606 GN=GRIN2D PE=1 SV=2;sp|Q86X10|RLGPB_HUMAN;Ral GTPase-activati",1,1,1,,,,,,
A0JLT2,sp|A0JLT2|MED19_HUMAN,sp|A0JLT2|MED19_HUMAN;Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2,0,1,0,,,,,,
A0MZ66,sp|A0MZ66|SHOT1_HUMAN,sp|A0MZ66|SHOT1_HUMAN;Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4,0,0,0,,,,,,
