circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:1637408|1704344	0.0695	exon	1.000	87.000	0.022	ENSG00000268575.1,ENSG00000189339.12,ENSG00000008128.23,ENSG00000248333.9	ENSG00000268575,SLC35E2B,CDK11A,CDK11B	lncRNA,protein_coding,protein_coding,protein_coding
chr1:1649499|1652566	0.0695	exon	1.000	118.000	0.017	ENSG00000248333.9	CDK11B	protein_coding
chr1:1890820|1942156	0.0695	exon	1.000	120.000	0.016	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:6522807|6524849	0.0695	exon	1.000	15.000	0.118	ENSG00000162408.11	NOL9	protein_coding
chr1:7834652|7853120	0.0695	intron	1.000	0.000	1.000	ENSG00000049247.14	UTS2	protein_coding
chr1:9931891|9934860	0.0695	exon	1.000	45.000	0.043	ENSG00000162441.12	LZIC	protein_coding
chr1:16484823|16631109	0.2086	exon	3.000	24.000	0.200	ENSG00000277344.1,ENSG00000219481.11,ENSG00000215908.10,ENSG00000206652.1,ENSG00000233421.5,ENSG00000225710.1,ENSG00000080947.15	RNU1-6P,NBPF1,CROCCP2,RNU1-1,LINC01783,PDE4DIPP8,CROCCP3	snRNA,protein_coding,transcribed_unprocessed_pseudogene,snRNA,lncRNA,unprocessed_pseudogene,transcribed_unprocessed_pseudogene
chr1:16564807|16567351	2.7113	exon	39.000	21.000	0.788	ENSG00000219481.11	NBPF1	protein_coding
chr1:22489880|22491533	0.0695	exon	1.000	13.000	0.133	ENSG00000184677.18	ZBTB40	protein_coding
chr1:24671386|24745625	0.0695	exon	1.000	255.000	0.008	ENSG00000169504.15,ENSG00000133226.18,ENSG00000284699.1	CLIC4,SRRM1,ENSG00000284699	protein_coding,protein_coding,lncRNA
chr1:26729651|26732792	0.0695	exon	1.000	48.000	0.040	ENSG00000117713.21	ARID1A	protein_coding
chr1:28487274|28487831	0.0695	intron	1.000	0.000	1.000	ENSG00000204138.13	PHACTR4	protein_coding
chr1:29142922|29166912	0.0695	intron	1.000	25.000	0.074	ENSG00000225750.1,ENSG00000116350.18	ENSG00000225750,SRSF4	lncRNA,protein_coding
chr1:29148567|29154910	0.0695	exon	1.000	482.000	0.004	ENSG00000116350.18	SRSF4	protein_coding
chr1:31059204|31059577	0.0695	exon	1.000	155.000	0.013	ENSG00000134644.16	PUM1	protein_coding
chr1:32030298|32034173	0.0695	intron	1.000	245.000	0.008	ENSG00000121774.18	KHDRBS1	protein_coding
chr1:32074951|32077318	0.2086	exon	3.000	67.000	0.082	ENSG00000121775.18	TMEM39B	protein_coding
chr1:32530721|32531024	0.0695	intron	1.000	0.000	1.000	ENSG00000254553.1	ENSG00000254553	protein_coding
chr1:33325204|33325353	0.0695	intron	1.000	0.000	1.000	ENSG00000134686.20	PHC2	protein_coding
chr1:35177989|35188090	0.1390	exon	2.000	1133.000	0.004	ENSG00000116560.11	SFPQ	protein_coding
chr1:35261561|35264627	0.0695	intergenic	1.000	0.000	1.000	None	None	None
chr1:37583867|37587345	0.0695	exon	1.000	215.000	0.009	ENSG00000134697.13	GNL2	protein_coding
chr1:39042716|39044345	0.0695	intergenic	1.000	1.000	0.667	None	None	None
chr1:43372475|43375857	0.0695	intergenic	1.000	1.000	0.667	None	None	None
chr1:45584108|45617591	0.0695	exon	1.000	577.000	0.003	ENSG00000132780.17	NASP	protein_coding
chr1:51823664|51840514	0.0695	exon	1.000	148.000	0.013	ENSG00000078618.23,ENSG00000283899.1	NRDC,MIR761	protein_coding,miRNA
chr1:54722675|54728432	0.0695	exon	1.000	200.000	0.010	ENSG00000243725.7,ENSG00000271723.5	TTC4,MROH7-TTC4	protein_coding,protein_coding
chr1:58661170|58685251	0.0695	exon	1.000	57.000	0.034	ENSG00000162601.11	MYSM1	protein_coding
chr1:58781055|58781272	0.0695	exon	1.000	246.000	0.008	ENSG00000177606.8	JUN	protein_coding
chr1:70221615|70251131	0.0695	exon	1.000	443.000	0.004	ENSG00000116754.14	SRSF11	protein_coding
chr1:70270856|70300908	0.0695	exon	1.000	80.000	0.024	ENSG00000118454.13	ANKRD13C	protein_coding
chr1:84865385|84866138	0.1390	exon	2.000	32.000	0.111	ENSG00000171517.6	LPAR3	protein_coding
chr1:93221609|93264901	0.0695	exon	1.000	35.000	0.054	ENSG00000122483.18	CCDC18	protein_coding
chr1:94455733|94468007	0.0695	intron	1.000	70.000	0.028	ENSG00000117528.14	ABCD3	protein_coding
chr1:108699467|108699700	0.0695	exon	1.000	407.000	0.005	ENSG00000134186.12	PRPF38B	protein_coding
chr1:109228352|109231786	0.0695	exon	1.000	582.000	0.003	ENSG00000031698.13	SARS1	protein_coding
chr1:114581299|114587952	0.0695	exon	1.000	223.000	0.009	ENSG00000116752.6,ENSG00000175984.15	BCAS2,DENND2C	protein_coding,protein_coding
chr1:117402186|117405645	0.2781	exon	4.000	51.000	0.136	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117414831	0.3476	exon	5.000	59.000	0.145	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117420649	1.0428	exon	15.000	8.000	0.789	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117442325	0.2086	exon	3.000	21.000	0.222	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117466427	0.0695	exon	1.000	29.000	0.065	ENSG00000198162.12	MAN1A2	protein_coding
chr1:154234591|154275483	0.0695	exon	1.000	591.000	0.003	ENSG00000143575.15,ENSG00000201129.1,ENSG00000143569.19	HAX1,SNORA58B,UBAP2L	protein_coding,snoRNA,protein_coding
chr1:155216384|155236469	0.0695	exon	1.000	80.000	0.024	ENSG00000160766.15,ENSG00000177628.16	GBAP1,GBA	transcribed_unprocessed_pseudogene,protein_coding
chr1:155260330|155262347	0.0695	exon	1.000	155.000	0.013	ENSG00000116521.11	SCAMP3	protein_coding
chr1:155648406|155661423	0.0695	exon	1.000	55.000	0.035	ENSG00000246203.2,ENSG00000163374.20	ENSG00000246203,YY1AP1	unprocessed_pseudogene,protein_coding
chr1:155732501|155732748	0.0695	intron	1.000	29.000	0.065	ENSG00000132676.16	DAP3	protein_coding
chr1:155815805|155822476	0.0695	exon	1.000	28.000	0.067	ENSG00000116580.20	GON4L	protein_coding
chr1:155820606|155827028	0.0695	exon	1.000	36.000	0.053	ENSG00000116580.20	GON4L	protein_coding
chr1:156560934|156566546	0.0695	exon	1.000	24.000	0.077	ENSG00000183856.11	IQGAP3	protein_coding
chr1:156715374|156717343	0.0695	intergenic	1.000	10.000	0.167	None	None	None
chr1:156715737|156717343	0.0695	intergenic	1.000	22.000	0.083	None	None	None
chr1:167288312|167416185	0.0695	intron	1.000	18.000	0.100	ENSG00000143190.23,ENSG00000272033.1	POU2F1,ENSG00000272033	protein_coding,lncRNA
chr1:169319159|169324500	0.0695	intron	1.000	27.000	0.069	ENSG00000143156.14	NME7	protein_coding
