circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:935772|939412	0.0600	exon	1.000	114.000	0.017	ENSG00000187634.13	SAMD11	protein_coding
chr1:1223244|1223968	0.1200	exon	2.000	226.000	0.017	ENSG00000078808.19	SDF4	protein_coding
chr1:1637408|1703995	0.0600	exon	1.000	92.000	0.021	ENSG00000268575.1,ENSG00000189339.12,ENSG00000008128.23,ENSG00000248333.9	ENSG00000268575,SLC35E2B,CDK11A,CDK11B	lncRNA,protein_coding,protein_coding,protein_coding
chr1:1873958|1944452	0.0600	intron	1.000	1.000	0.667	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:1890820|1942156	0.0600	exon	1.000	160.000	0.012	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:8784163|8784311	0.0600	intron	1.000	2.000	0.500	ENSG00000142599.19	RERE	protein_coding
chr1:10134988|10137205	0.1200	exon	2.000	54.000	0.069	ENSG00000130939.20	UBE4B	protein_coding
chr1:10457476|10458767	0.0600	exon	1.000	125.000	0.016	ENSG00000160049.12	DFFA	protein_coding
chr1:15043989|15044159	0.0600	exon	1.000	30.000	0.062	ENSG00000189337.17	KAZN	protein_coding
chr1:16484823|16631109	0.6597	exon	11.000	28.000	0.440	ENSG00000277344.1,ENSG00000219481.11,ENSG00000215908.10,ENSG00000206652.1,ENSG00000233421.5,ENSG00000225710.1,ENSG00000080947.15	RNU1-6P,NBPF1,CROCCP2,RNU1-1,LINC01783,PDE4DIPP8,CROCCP3	snRNA,protein_coding,transcribed_unprocessed_pseudogene,snRNA,lncRNA,unprocessed_pseudogene,transcribed_unprocessed_pseudogene
chr1:28580560|28581229	0.0600	exon	1.000	137.000	0.014	ENSG00000280498.1,ENSG00000197989.15,ENSG00000274582.1	SNORA16A,SNHG12,SNORA16A	snoRNA,lncRNA,snoRNA
chr1:29154696|29154910	0.0600	exon	1.000	487.000	0.004	ENSG00000116350.18	SRSF4	protein_coding
chr1:30936643|30945483	0.0600	exon	1.000	256.000	0.008	ENSG00000134644.16	PUM1	protein_coding
chr1:30992390|31007102	0.0600	exon	1.000	100.000	0.020	ENSG00000134644.16	PUM1	protein_coding
chr1:31915895|31919658	0.0600	exon	1.000	521.000	0.004	ENSG00000269967.1,ENSG00000288678.1,ENSG00000184007.22	ENSG00000269967,ENSG00000288678,PTP4A2	lncRNA,protein_coding,protein_coding
chr1:35358925|35370627	0.0600	exon	1.000	44.000	0.043	ENSG00000146463.12	ZMYM4	protein_coding
chr1:37862003|37869561	0.0600	intron	1.000	10.000	0.167	ENSG00000204084.13	INPP5B	protein_coding
chr1:40450656|40468441	0.0600	intron	1.000	5.000	0.286	ENSG00000187801.15,ENSG00000260920.2	ZFP69B,ENSG00000260920	protein_coding,lncRNA
chr1:43924496|43924768	0.0600	intron	1.000	1.000	0.667	ENSG00000284989.1,ENSG00000126091.21	ENSG00000284989,ST3GAL3	protein_coding,protein_coding
chr1:44308310|44339322	0.0600	exon	1.000	148.000	0.013	ENSG00000117419.16	ERI3	protein_coding
chr1:50535369|50596216	0.0600	exon	1.000	223.000	0.009	ENSG00000185104.21	FAF1	protein_coding
chr1:51827796|51834170	0.0600	exon	1.000	177.000	0.011	ENSG00000078618.23	NRDC	protein_coding
chr1:52509596|52526373	0.0600	exon	1.000	39.000	0.049	ENSG00000134744.14	TUT4	protein_coding
chr1:58506060|58536741	0.0600	exon	1.000	148.000	0.013	ENSG00000173406.16,ENSG00000162600.12	DAB1,OMA1	protein_coding,protein_coding
chr1:62443159|62447511	0.0600	exon	1.000	153.000	0.013	ENSG00000162607.13	USP1	protein_coding
chr1:62444738|62447511	0.0600	exon	1.000	454.000	0.004	ENSG00000162607.13	USP1	protein_coding
chr1:70246820|70250047	0.0600	exon	1.000	840.000	0.002	ENSG00000116754.14	SRSF11	protein_coding
chr1:90937485|90982370	0.1200	exon	2.000	66.000	0.057	ENSG00000122482.22	ZNF644	protein_coding
chr1:93221609|93264901	0.1200	exon	2.000	35.000	0.103	ENSG00000122483.18	CCDC18	protein_coding
chr1:98684885|98701903	0.0600	exon	1.000	99.000	0.020	ENSG00000162627.17	SNX7	protein_coding
chr1:117402186|117405645	1.0196	exon	17.000	73.000	0.318	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117414831	0.8996	exon	15.000	74.000	0.288	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117420649	1.7393	exon	29.000	8.000	0.879	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117442325	0.3599	exon	6.000	19.000	0.387	ENSG00000198162.12	MAN1A2	protein_coding
chr1:119727057|119734766	0.0600	exon	1.000	1623.000	0.001	ENSG00000092621.13	PHGDH	protein_coding
chr1:150440923|150446401	0.0600	exon	1.000	36.000	0.053	ENSG00000163125.16	RPRD2	protein_coding
chr1:151078771|151079412	0.0600	intron	1.000	1.000	0.667	ENSG00000143458.12	GABPB2	protein_coding
chr1:151262161|151264028	0.1200	exon	2.000	738.000	0.005	ENSG00000159352.16	PSMD4	protein_coding
chr1:151291502|151291886	0.0600	exon	1.000	52.000	0.037	ENSG00000143373.18	ZNF687	protein_coding
chr1:155612418|155747896	0.1200	exon	2.000	119.000	0.033	ENSG00000125459.17,ENSG00000203761.5,ENSG00000132676.16	MSTO1,MSTO2P,DAP3	protein_coding,unprocessed_pseudogene,protein_coding
chr1:167411959|167416185	0.0600	exon	1.000	66.000	0.029	ENSG00000143190.23	POU2F1	protein_coding
chr1:168377913|168379782	0.0600	intergenic	1.000	7.000	0.222	None	None	None
chr1:171512995|171532961	0.0600	exon	1.000	147.000	0.013	ENSG00000117523.18	PRRC2C	protein_coding
chr1:171523221|171532961	0.0600	exon	1.000	638.000	0.003	ENSG00000117523.18	PRRC2C	protein_coding
chr1:171524821|171532961	0.0600	exon	1.000	208.000	0.010	ENSG00000117523.18	PRRC2C	protein_coding
chr1:171540596|171540865	0.0600	exon	1.000	361.000	0.006	ENSG00000117523.18	PRRC2C	protein_coding
chr1:174219125|174221164	0.0600	exon	1.000	20.000	0.091	ENSG00000152061.24	RABGAP1L	protein_coding
chr1:178123048|178125501	0.0600	intron	1.000	2.000	0.500	ENSG00000075391.17	RASAL2	protein_coding
chr1:186325809|186326177	0.1200	exon	2.000	362.000	0.011	ENSG00000047410.14	TPR	protein_coding
chr1:186341028|186344090	0.1200	exon	2.000	234.000	0.017	ENSG00000047410.14	TPR	protein_coding
chr1:198232553|198253180	0.0600	exon	1.000	48.000	0.040	ENSG00000151414.15	NEK7	protein_coding
chr1:209830108|209831043	0.0600	exon	1.000	93.000	0.021	ENSG00000117597.18	UTP25	protein_coding
chr1:214308505|214308721	0.0600	intron	1.000	0.000	1.000	ENSG00000143499.14	SMYD2	protein_coding
chr1:215586495|215595471	0.0600	exon	1.000	196.000	0.010	ENSG00000136636.13	KCTD3	protein_coding
chr1:224952670|224968874	0.0600	exon	1.000	81.000	0.024	ENSG00000185842.16	DNAH14	protein_coding
chr1:224952670|225007544	0.0600	exon	1.000	4.000	0.333	ENSG00000185842.16	DNAH14	protein_coding
chr1:229458161|229465519	0.0600	exon	1.000	324.000	0.006	ENSG00000069248.12	NUP133	protein_coding
chr1:235196031|235221662	0.1799	exon	3.000	140.000	0.041	ENSG00000054267.22	ARID4B	protein_coding
