circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:746695|749381	0.2993	intron	6.000	3.000	0.800	ENSG00000228327.4,ENSG00000230021.10	ENSG00000228327,ENSG00000230021	transcribed_unprocessed_pseudogene,transcribed_processed_pseudogene
chr1:930155|939412	0.0499	exon	1.000	24.000	0.077	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939412	0.0499	exon	1.000	15.000	0.118	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939460	0.8978	exon	18.000	38.000	0.486	ENSG00000187634.13	SAMD11	protein_coding
chr1:1043239|1044439	0.0499	exon	1.000	51.000	0.038	ENSG00000188157.15	AGRN	protein_coding
chr1:1223244|1223968	0.7980	exon	16.000	2.000	0.941	ENSG00000078808.19	SDF4	protein_coding
chr1:1223244|1228946	0.5487	exon	11.000	57.000	0.278	ENSG00000078808.19	SDF4	protein_coding
chr1:1228468|1228946	0.0499	exon	1.000	29.000	0.065	ENSG00000078808.19	SDF4	protein_coding
chr1:1256045|1267992	0.0998	exon	2.000	32.000	0.111	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1257310	0.4489	exon	9.000	14.000	0.562	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1267992	0.1995	exon	4.000	14.000	0.364	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1286042|1286255	0.0499	antisense	1.000	1.000	0.667	ENSG00000162572.21	SCNN1D	protein_coding
chr1:1302922|1304143	0.0499	exon	1.000	19.000	0.095	ENSG00000131584.19	ACAP3	protein_coding
chr1:1309058|1314962	0.0499	intron	1.000	34.000	0.056	ENSG00000283712.1,ENSG00000131584.19,ENSG00000127054.22	MIR6727,ACAP3,INTS11	miRNA,protein_coding,protein_coding
chr1:1312018|1315618	0.0998	exon	2.000	32.000	0.111	ENSG00000283712.1,ENSG00000127054.22	MIR6727,INTS11	miRNA,protein_coding
chr1:1337977|1341805	0.0998	exon	2.000	23.000	0.148	ENSG00000284372.1,ENSG00000107404.21	MIR6808,DVL1	miRNA,protein_coding
chr1:1387235|1390865	0.5985	exon	12.000	16.000	0.600	ENSG00000221978.13	CCNL2	protein_coding
chr1:1407731|1414958	0.1496	antisense	3.000	5.000	0.545	ENSG00000272455.1	MRPL20-DT	lncRNA
chr1:1418113|1419549	0.0499	intron	1.000	1.000	0.667	ENSG00000235098.9	ANKRD65	protein_coding
chr1:1450681|1462708	0.0499	exon	1.000	2.000	0.500	ENSG00000215915.10	ATAD3C	protein_coding
chr1:1490257|1492004	0.0499	intron	1.000	16.000	0.111	ENSG00000160072.20	ATAD3B	protein_coding
chr1:1636682|1638590	0.0499	exon	1.000	8.000	0.200	ENSG00000248333.9	CDK11B	protein_coding
chr1:1655369|1657498	0.0499	exon	1.000	2.000	0.500	ENSG00000248333.9	CDK11B	protein_coding
chr1:1668327|1739704	0.4489	exon	9.000	10.000	0.643	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1669664|1734835	0.0998	exon	2.000	13.000	0.235	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1675463|1676846	0.3491	exon	7.000	33.000	0.298	ENSG00000189339.12	SLC35E2B	protein_coding
chr1:1692449|1739704	0.0998	exon	2.000	42.000	0.087	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1734690|1739704	0.0998	exon	2.000	10.000	0.286	ENSG00000215790.8,ENSG00000268575.1	SLC35E2A,ENSG00000268575	transcribed_unprocessed_pseudogene,lncRNA
chr1:1738321|1739704	0.0998	exon	2.000	27.000	0.129	ENSG00000215790.8	SLC35E2A	transcribed_unprocessed_pseudogene
chr1:1754284|1757310	0.1496	exon	3.000	19.000	0.240	ENSG00000008130.15	NADK	protein_coding
chr1:1754284|1762035	0.0998	exon	2.000	32.000	0.111	ENSG00000008130.15	NADK	protein_coding
chr1:1754284|1765446	0.0998	exon	2.000	9.000	0.308	ENSG00000008130.15	NADK	protein_coding
chr1:1787322|1793311	0.1496	exon	3.000	2.000	0.750	ENSG00000078369.18	GNB1	protein_coding
chr1:1787326|1793311	0.0998	exon	2.000	52.000	0.071	ENSG00000078369.18	GNB1	protein_coding
chr1:1787491|1839238	0.0998	intron	2.000	36.000	0.100	ENSG00000078369.18	GNB1	protein_coding
chr1:1788130|1789393	0.0998	antisense	2.000	10.000	0.286	ENSG00000078369.18	GNB1	protein_coding
chr1:1789004|1793414	0.0998	antisense	2.000	8.000	0.333	ENSG00000078369.18	GNB1	protein_coding
chr1:1793245|1839238	0.0499	exon	1.000	15.000	0.118	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1806538	0.1496	exon	3.000	1.000	0.857	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1817875	0.0998	exon	2.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1839238	0.1496	exon	3.000	4.000	0.600	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1825499	0.1995	exon	4.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1839238	0.3990	exon	8.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1825397|1853297	0.0499	intron	1.000	10.000	0.167	ENSG00000078369.18	GNB1	protein_coding
chr1:1890820|1944452	0.0499	exon	1.000	20.000	0.091	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:2135262|2150978	0.0499	exon	1.000	15.000	0.118	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2146027|2150978	0.0499	exon	1.000	11.000	0.154	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2169518|2175313	0.0499	exon	1.000	5.000	0.286	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2302978|2304585	0.1995	exon	4.000	28.000	0.222	ENSG00000157933.10	SKI	protein_coding
chr1:2302978|2306956	0.0998	exon	2.000	40.000	0.091	ENSG00000157933.10	SKI	protein_coding
