Entry,sgBCL2_R1,sgBCL2_R2,sgBCL2_R3,sgCtrl_R1,sgCtrl_R2,sgCtrl_R3,sgBCL2_PDS_R1,sgBCL2_PDS_R2,sgBCL2_PDS_R3,sgCtrl_PDS_R1,sgCtrl_PDS_R2,sgCtrl_PDS_R3,sgBCL2_Mean,sgCtrl_Mean,sgBCL2_PDS_Mean,sgCtrl_PDS_Mean,Log2FC,Pvalue,FDR,Log2FC_PDS,Pvalue_PDS,FDR_PDS,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
A0JLT2,25.0690727233887,24.6264495849609,26.0083847045898,27.2714195251465,24.3169994354248,24.052583694458,25.0772457122803,20.2271823883057,27.3910007476807,24.2961406707764,24.4922828674316,25.2926349639893,25.2346356709798,25.213667551676433,24.231809616088896,24.693686167399097,0.020968119303365285,0.985823682188736,0.9931867373432732,-0.4618765513102012,0.8391387507826815,0.9085616044835624,reviewed,MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),MED19 LCMR1,Homo sapiens (Human),244
A1L0T0,22.4036140441895,23.5869197845459,22.5684833526611,25.0190315246582,20.9932289123535,22.7244243621826,21.9961585998535,19.6048049926758,25.2280254364014,23.2961406707764,23.5521545410156,21.3429946899414,22.853005727132167,22.912228266398103,22.27632967631023,22.730429967244465,-0.059222539265935126,0.9637070315646125,0.9861188229963476,-0.4541002909342353,0.8104278437324061,0.8914706281056467,reviewed,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,Homo sapiens (Human),632
A6NHR9,21.3828315734863,20.6694717407227,19.7462215423584,24.4361896514893,20.7465801239014,21.8499279022217,20.3926601409912,22.0637302398682,21.87965965271,20.5785007476807,21.5434551239014,22.3698616027832,20.599508285522464,22.34423255920413,21.445350011189802,21.497272491455103,-1.7447242736816655,0.21699831523641128,0.9742140838941091,-0.05192248026530066,0.9474398346727255,0.9718949844436285,reviewed,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1 KIAA0650,Homo sapiens (Human),2005
A8CG34,21.4118328094482,20.5361461639404,18.7602005004883,23.9225234985352,22.7955074310303,23.234619140625,24.8528137207031,22.7695121765137,24.2749767303467,23.8670291900635,20.931568145752,20.4374599456787,20.23605982462563,23.317550023396834,23.965767542521167,21.745352427164732,-3.0814901987712027,0.021932090987393103,0.9742140838941091,2.2204151153564347,0.1472058669652182,0.7036062715682534,reviewed,P121C_HUMAN,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),POM121C,Homo sapiens (Human),1229
Q9NWY4,23.2243499755859,22.60964012146,20.264139175415,24.9976577758789,21.5618953704834,21.5821437835693,24.3169994354248,22.5451011657715,24.5869197845459,20.3508281707764,22.9950714111328,19.0145816802979,22.032709757486966,22.713898976643865,23.816340128580734,20.786827087402365,-0.6811892191568987,0.664059102649944,0.9742140838941091,3.029513041178369,0.08553709312421713,0.7036062715682534,reviewed,HPF1_HUMAN,Histone PARylation factor 1,HPF1 C4orf27,Homo sapiens (Human),346
O00148,27.0296001434326,26.8973522186279,26.3926391601563,28.9539356231689,26.6864566802979,25.9338207244873,27.6997528076172,25.3066082000732,29.5351943969727,27.2076930999756,27.508996963501,27.3578338623047,26.773197174072266,27.191404342651367,27.513851801554367,27.358174641927103,-0.41820716857910156,0.6756411207822748,0.9742140838941091,0.15567715962726325,0.9051841945017064,0.945722735634743,reviewed,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39,Homo sapiens (Human),427
O00151,21.2860946655273,23.5638370513916,23.6208686828613,22.0120754241943,23.0562019348145,20.448938369751,24.3443508148193,23.4040565490723,22.3809051513672,21.4118328094482,22.8019104003906,22.0122261047363,22.82360013326007,21.839071909586604,23.37643750508627,22.075323104858366,0.9845282236734647,0.413332610821718,0.9742140838941091,1.3011144002279025,0.13463771997534194,0.7036062715682534,reviewed,PDLI1_HUMAN,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1 CLIM1 CLP36,Homo sapiens (Human),329
O00159,21.7496585845947,21.6163234710693,19.1258888244629,20.8327865600586,23.0008754730225,20.2175922393799,20.645263671875,20.3358211517334,20.9898948669434,21.8801689147949,21.5338230133057,18.7035064697266,20.83062362670897,21.35041809082033,20.656993230183932,20.705832799275736,-0.5197944641113601,0.6872875675636994,0.9742140838941091,-0.04883956909180398,0.9642361190620792,0.980956976618069,reviewed,MYO1C_HUMAN,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),MYO1C,Homo sapiens (Human),1063
O00170,27.3991737365723,26.7644577026367,24.5754241943359,27.508996963501,26.4815464019775,26.8504314422607,26.7517471313477,25.9737758636475,26.6039943695068,25.9846801757813,26.5477504730225,23.8480453491211,26.246351877848298,26.946991602579732,26.443172454834002,25.460158665974962,-0.7006397247314347,0.48274469824133476,0.9742140838941091,0.98301378885904,0.31490758432397103,0.7036062715682534,reviewed,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP XAP2,Homo sapiens (Human),330
O00193,29.332447052002,29.0137176513672,27.3494205474854,29.0296001434326,28.1747417449951,28.9088478088379,28.5499534606934,28.611047744751,28.1747417449951,25.2642765045166,27.9594745635986,26.6864566802979,28.565195083618203,28.7043965657552,28.4452476501465,26.636735916137706,-0.1392014821369969,0.8456375439207962,0.9744879240508083,1.8085117340087926,0.08400449159172771,0.7036062715682534,reviewed,SMAP_HUMAN,Small acidic protein,SMAP C11orf58,Homo sapiens (Human),183
