circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:1637081|1704146	0.0997	exon	2.000	135.000	0.029	ENSG00000268575.1,ENSG00000189339.12,ENSG00000008128.23,ENSG00000248333.9	ENSG00000268575,SLC35E2B,CDK11A,CDK11B	lncRNA,protein_coding,protein_coding,protein_coding
chr1:1890820|1942156	0.0498	exon	1.000	173.000	0.011	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:3863057|3884665	0.0498	intron	1.000	31.000	0.061	ENSG00000169598.17	DFFB	protein_coding
chr1:6522807|6524849	0.0498	exon	1.000	33.000	0.057	ENSG00000162408.11	NOL9	protein_coding
chr1:8655973|8656441	0.0498	exon	1.000	30.000	0.062	ENSG00000142599.19	RERE	protein_coding
chr1:16484823|16631109	0.1495	exon	3.000	42.000	0.125	ENSG00000277344.1,ENSG00000219481.11,ENSG00000215908.10,ENSG00000206652.1,ENSG00000233421.5,ENSG00000225710.1,ENSG00000080947.15	RNU1-6P,NBPF1,CROCCP2,RNU1-1,LINC01783,PDE4DIPP8,CROCCP3	snRNA,protein_coding,transcribed_unprocessed_pseudogene,snRNA,lncRNA,unprocessed_pseudogene,transcribed_unprocessed_pseudogene
chr1:22078429|22086866	0.0498	exon	1.000	591.000	0.003	ENSG00000070831.17	CDC42	protein_coding
chr1:24643359|24672306	0.0498	intron	1.000	133.000	0.015	ENSG00000133226.18	SRRM1	protein_coding
chr1:26729651|26732792	0.0498	exon	1.000	48.000	0.040	ENSG00000117713.21	ARID1A	protein_coding
chr1:31055313|31059577	0.0498	exon	1.000	93.000	0.021	ENSG00000134644.16	PUM1	protein_coding
chr1:31337175|31348974	0.0498	exon	1.000	352.000	0.006	ENSG00000121766.16	ZCCHC17	protein_coding
chr1:32592931|32742189	0.0498	exon	1.000	31.000	0.061	ENSG00000160062.15,ENSG00000162522.11,ENSG00000254553.1,ENSG00000200591.1,ENSG00000162521.19	ZBTB8A,KIAA1522,ENSG00000254553,Y_RNA,RBBP4	protein_coding,protein_coding,protein_coding,misc_RNA,protein_coding
chr1:35747907|35765326	0.0498	exon	1.000	187.000	0.011	ENSG00000092853.14	CLSPN	protein_coding
chr1:37455696|37461474	0.0498	intron	1.000	0.000	1.000	ENSG00000233621.3	LINC01137	lncRNA
chr1:40738836|40758451	0.0498	intron	1.000	95.000	0.021	ENSG00000198974.3,ENSG00000207962.1,ENSG00000066136.21	MIR30E,MIR30C1,NFYC	miRNA,miRNA,protein_coding
chr1:41070595|41075451	0.0498	exon	1.000	96.000	0.020	ENSG00000010803.16	SCMH1	protein_coding
chr1:45640210|45642499	0.1495	exon	3.000	234.000	0.025	ENSG00000159592.11	GPBP1L1	protein_coding
chr1:45659028|45661225	0.0498	exon	1.000	170.000	0.012	ENSG00000159592.11	GPBP1L1	protein_coding
chr1:62441488|62445429	0.0498	exon	1.000	544.000	0.004	ENSG00000162607.13	USP1	protein_coding
chr1:63478764|63508570	0.0498	exon	1.000	289.000	0.007	ENSG00000142856.17	ITGB3BP	protein_coding
chr1:70292388|70315566	0.0498	exon	1.000	130.000	0.015	ENSG00000118454.13	ANKRD13C	protein_coding
chr1:88983304|88983586	0.0997	exon	2.000	63.000	0.060	ENSG00000213516.10,ENSG00000137944.18	RBMXL1,KYAT3	protein_coding,protein_coding
chr1:92736398|92745802	0.0498	intron	1.000	20.000	0.091	ENSG00000067208.16	EVI5	protein_coding
chr1:93217738|93226449	0.0997	exon	2.000	83.000	0.046	ENSG00000122483.18	CCDC18	protein_coding
chr1:93221609|93264901	0.1993	exon	4.000	44.000	0.154	ENSG00000122483.18	CCDC18	protein_coding
chr1:109665011|109690564	0.0498	exon	1.000	0.000	1.000	ENSG00000134184.13,ENSG00000168765.18,ENSG00000213366.13	GSTM1,GSTM4,GSTM2	protein_coding,protein_coding,protein_coding
