Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
O43929,sp|O43929|ORC4_HUMAN;CON__Q2YDI2,3,3,3,1.0947,1.0835,0.92832,0.050336841763136,0.544558547539379,0.6277549923023397,reviewed,ORC4_HUMAN,Origin recognition complex subunit 4,ORC4 ORC4L,Homo sapiens (Human),436
A1L0T0,sp|A1L0T0|HACL2_HUMAN,3,3,6,0.92234,0.98514,0.62961,-0.2417878026631534,0.2317675894325597,0.3253566160321768,reviewed,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,Homo sapiens (Human),632
Q99613,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,9,6,10,1.0236,1.0489,0.85469,-0.0354461085237062,0.7108653715342771,0.7801894325599339,reviewed,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),EIF3C EIF3S8,Homo sapiens (Human),913
B5ME19,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,9,6,10,1.0236,1.0489,0.85469,-0.0354461085237062,0.7108653715342771,0.7801894325599339,reviewed,EIFCL_HUMAN,Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3CL,Homo sapiens (Human),914
O00170,sp|O00170|AIP_HUMAN,4,5,2,2.1946,1.7989,0.60325,0.6156517047922966,0.3281955374978135,0.4315283898981152,reviewed,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP XAP2,Homo sapiens (Human),330
O00193,sp|O00193|SMAP_HUMAN,6,5,4,2.1126,1.9053,1.5142,0.8828647346176034,0.0085790780148235,0.0286256673459438,reviewed,SMAP_HUMAN,Small acidic protein,SMAP C11orf58,Homo sapiens (Human),183
O00203,sp|O00203|AP3B1_HUMAN,6,6,6,0.87699,0.90489,0.90859,-0.1571042805638628,0.0004928595469827,0.0057413813894125,reviewed,AP3B1_HUMAN,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1 ADTB3A,Homo sapiens (Human),1094
O00410,sp|O00410|IPO5_HUMAN,4,3,6,1.0636,1.1377,0.73978,-0.0286164733701835,0.8800820127892888,0.9173853320126966,reviewed,IPO5_HUMAN,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,Homo sapiens (Human),1097
O00411,sp|O00411|RPOM_HUMAN,4,4,3,0.70191,0.85524,1.0146,-0.2222120957264527,0.1889583757979695,0.2745478370456275,reviewed,RPOM_HUMAN,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,Homo sapiens (Human),1230
O00505,sp|O00505|IMA4_HUMAN,4,4,3,1.4952,1.2222,1.0341,0.3225050575188828,0.1346153341412168,0.2133283576844105,reviewed,IMA4_HUMAN,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),KPNA3 QIP2,Homo sapiens (Human),521
