circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:847654|855121	0.0483	exon	1.000	1.000	0.667	ENSG00000228794.11	LINC01128	lncRNA
chr1:925922|939460	0.0966	exon	2.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:925922|943808	0.0483	exon	1.000	3.000	0.400	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|939412	0.0483	exon	1.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|939460	0.0966	exon	2.000	40.000	0.091	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939412	0.2897	exon	6.000	70.000	0.146	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939460	1.7382	exon	36.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:939040|939412	0.0483	exon	1.000	70.000	0.028	ENSG00000187634.13	SAMD11	protein_coding
chr1:955923|957273	0.0966	exon	2.000	123.000	0.031	ENSG00000188976.11	NOC2L	protein_coding
chr1:1084353|1087597	0.0483	exon	1.000	20.000	0.091	ENSG00000131591.18	C1orf159	protein_coding
chr1:1223244|1223968	1.0622	exon	22.000	26.000	0.629	ENSG00000078808.19	SDF4	protein_coding
chr1:1256045|1263386	0.0483	exon	1.000	0.000	1.000	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256045|1267992	0.2414	exon	5.000	36.000	0.217	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1263386	0.0966	exon	2.000	8.000	0.333	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1267992	0.2414	exon	5.000	15.000	0.400	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1262170|1263386	0.0966	exon	2.000	4.000	0.500	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1338269|1342484	0.0483	exon	1.000	75.000	0.026	ENSG00000284372.1,ENSG00000107404.21	MIR6808,DVL1	miRNA,protein_coding
chr1:1387235|1388065	0.0483	exon	1.000	18.000	0.100	ENSG00000221978.13	CCNL2	protein_coding
chr1:1387235|1390865	0.3380	exon	7.000	20.000	0.412	ENSG00000221978.13	CCNL2	protein_coding
chr1:1387235|1393439	0.0483	exon	1.000	19.000	0.095	ENSG00000221978.13	CCNL2	protein_coding
chr1:1387235|1398671	0.1448	exon	3.000	21.000	0.222	ENSG00000221978.13	CCNL2	protein_coding
chr1:1387235|1405886	0.0483	exon	1.000	6.000	0.250	ENSG00000264293.2,ENSG00000221978.13,ENSG00000242485.6	RN7SL657P,CCNL2,MRPL20	misc_RNA,protein_coding,protein_coding
chr1:1477274|1482614	0.0483	exon	1.000	41.000	0.047	ENSG00000160072.20	ATAD3B	protein_coding
chr1:1489204|1490424	0.0483	exon	1.000	37.000	0.051	ENSG00000160072.20	ATAD3B	protein_coding
chr1:1513613|1527862	0.0966	intron	2.000	16.000	0.200	ENSG00000197785.14	ATAD3A	protein_coding
