circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:805799|810170	0.2419	exon	5.000	0.000	1.000	ENSG00000230021.10,ENSG00000230092.7	ENSG00000230021,ENSG00000230092	transcribed_processed_pseudogene,transcribed_unprocessed_pseudogene
chr1:844450|855136	0.0484	exon	1.000	0.000	1.000	ENSG00000228794.11	LINC01128	lncRNA
chr1:925922|943808	0.0484	exon	1.000	8.000	0.200	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|931089	0.0484	exon	1.000	3.000	0.400	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|939460	0.0967	exon	2.000	41.000	0.089	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939412	0.1451	exon	3.000	53.000	0.102	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939460	0.7740	exon	16.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:955923|957273	0.2419	exon	5.000	148.000	0.063	ENSG00000188976.11	NOC2L	protein_coding
chr1:1223244|1223968	0.7256	exon	15.000	15.000	0.667	ENSG00000078808.19	SDF4	protein_coding
chr1:1223244|1228946	0.1451	exon	3.000	36.000	0.143	ENSG00000078808.19	SDF4	protein_coding
chr1:1256045|1267992	0.1451	exon	3.000	20.000	0.231	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1257310	0.2902	exon	6.000	16.000	0.429	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1263386	0.1451	exon	3.000	14.000	0.300	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1267992	0.2902	exon	6.000	7.000	0.632	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1268611	0.0484	intron	1.000	11.000	0.154	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1262269|1267992	0.0484	exon	1.000	3.000	0.400	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1387235|1390865	0.2902	exon	6.000	25.000	0.324	ENSG00000221978.13	CCNL2	protein_coding
chr1:1477274|1529331	0.0967	exon	2.000	63.000	0.060	ENSG00000284740.2,ENSG00000197785.14,ENSG00000160072.20	ENSG00000284740,ATAD3A,ATAD3B	transcribed_unprocessed_pseudogene,protein_coding,protein_coding
chr1:1561332|1564916	0.1935	exon	4.000	39.000	0.170	ENSG00000160075.12	SSU72	protein_coding
chr1:1668327|1676846	0.0484	exon	1.000	12.000	0.143	ENSG00000189339.12	SLC35E2B	protein_coding
chr1:1668327|1739704	0.0967	exon	2.000	0.000	1.000	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1669664|1670151	0.0967	exon	2.000	58.000	0.065	ENSG00000189339.12	SLC35E2B	protein_coding
chr1:1734690|1739704	0.0484	exon	1.000	12.000	0.143	ENSG00000215790.8,ENSG00000268575.1	SLC35E2A,ENSG00000268575	transcribed_unprocessed_pseudogene,lncRNA
chr1:1761952|1765446	0.0484	exon	1.000	23.000	0.080	ENSG00000008130.15	NADK	protein_coding
chr1:1789053|1790596	0.0484	exon	1.000	63.000	0.031	ENSG00000078369.18	GNB1	protein_coding
chr1:1793245|1825482	0.0484	exon	1.000	4.000	0.333	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1817875	0.0484	exon	1.000	7.000	0.222	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1825499	0.0967	exon	2.000	20.000	0.167	ENSG00000078369.18	GNB1	protein_coding
chr1:1806475|1825499	0.0484	exon	1.000	118.000	0.017	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1825499	0.0484	exon	1.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1839238	0.6772	exon	14.000	66.000	0.298	ENSG00000078369.18	GNB1	protein_coding
chr1:1890820|1942156	0.1451	exon	3.000	14.000	0.300	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:2144210|2148924	0.0967	exon	2.000	14.000	0.222	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2169518|2184698	0.0484	exon	1.000	4.000	0.333	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2240619|2306956	0.0967	intron	2.000	29.000	0.121	ENSG00000157933.10	SKI	protein_coding
chr1:2302978|2304585	0.2902	exon	6.000	63.000	0.160	ENSG00000157933.10	SKI	protein_coding
chr1:2393270|2400935	0.0484	intron	1.000	22.000	0.083	ENSG00000157916.20	RER1	protein_coding
chr1:2395784|2400935	0.0484	exon	1.000	0.000	1.000	ENSG00000157916.20	RER1	protein_coding
chr1:2395784|2403589	0.1935	exon	4.000	14.000	0.364	ENSG00000157916.20	RER1	protein_coding
chr1:3682333|3707791	0.0967	exon	2.000	5.000	0.444	ENSG00000078900.15	TP73	protein_coding
chr1:3740233|3746186	0.0484	exon	1.000	35.000	0.054	ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene
chr1:3781512|3785203	0.0967	exon	2.000	53.000	0.070	ENSG00000130764.10	LRRC47	protein_coding
chr1:3826370|3845351	0.0484	exon	1.000	25.000	0.074	ENSG00000116198.14	CEP104	protein_coding
chr1:3838964|3839776	0.1451	exon	3.000	21.000	0.222	ENSG00000116198.14	CEP104	protein_coding
chr1:5873252|5880239	0.1451	exon	3.000	6.000	0.500	ENSG00000131697.18	NPHP4	protein_coding
chr1:5873252|5952836	0.0484	exon	1.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5877093|5953947	0.0484	intron	1.000	12.000	0.143	ENSG00000131697.18	NPHP4	protein_coding
chr1:5887286|5986327	0.0484	exon	1.000	8.000	0.200	ENSG00000131697.18	NPHP4	protein_coding
chr1:5904617|5909213	0.0484	exon	1.000	2.000	0.500	ENSG00000131697.18	NPHP4	protein_coding
chr1:5904617|5952836	0.0484	exon	1.000	40.000	0.048	ENSG00000131697.18	NPHP4	protein_coding
chr1:5905292|5986327	0.0484	exon	1.000	22.000	0.083	ENSG00000131697.18	NPHP4	protein_coding
chr1:5927649|5933329	0.3386	exon	7.000	5.000	0.737	ENSG00000131697.18	NPHP4	protein_coding
chr1:5927649|5948251	0.0484	exon	1.000	26.000	0.071	ENSG00000131697.18	NPHP4	protein_coding
chr1:5927649|5952836	0.5321	exon	11.000	17.000	0.564	ENSG00000131697.18	NPHP4	protein_coding
chr1:5927649|5986232	0.1935	exon	4.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5927649|5986327	0.0967	exon	2.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5947104|5952836	0.4837	exon	10.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5947104|5986327	0.0484	exon	1.000	25.000	0.074	ENSG00000131697.18	NPHP4	protein_coding
chr1:5952700|5986327	0.0967	exon	2.000	1.000	0.800	ENSG00000131697.18	NPHP4	protein_coding
chr1:5961794|5969259	0.1935	exon	4.000	53.000	0.131	ENSG00000131697.18	NPHP4	protein_coding
chr1:5961794|5986327	0.0484	exon	1.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5967299|5986232	0.0484	exon	1.000	55.000	0.035	ENSG00000131697.18	NPHP4	protein_coding
chr1:5967299|5986327	0.2419	exon	5.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
chr1:5978270|5986327	0.0967	exon	2.000	4.000	0.500	ENSG00000131697.18	NPHP4	protein_coding
chr1:6231902|6232119	0.0484	exon	1.000	92.000	0.021	ENSG00000116237.16	ICMT	protein_coding
chr1:6231902|6233643	0.5805	exon	12.000	23.000	0.511	ENSG00000116237.16	ICMT	protein_coding
chr1:6533280|6549698	0.0967	exon	2.000	78.000	0.049	ENSG00000162408.11	NOL9	protein_coding
chr1:6616757|6620337	0.0967	exon	2.000	6.000	0.400	ENSG00000116273.6	PHF13	protein_coding
chr1:6619803|6620337	0.0484	exon	1.000	20.000	0.091	ENSG00000116273.6	PHF13	protein_coding
chr1:6627763|6628691	0.0967	exon	2.000	3.000	0.571	ENSG00000041988.16	THAP3	protein_coding
chr1:6637198|6640057	0.0484	exon	1.000	24.000	0.077	ENSG00000007923.17	DNAJC11	protein_coding
chr1:6806983|6833990	0.0484	intron	1.000	0.000	1.000	ENSG00000171735.19	CAMTA1	protein_coding
chr1:6820181|6825210	0.0967	exon	2.000	8.000	0.333	ENSG00000171735.19	CAMTA1	protein_coding
chr1:7777160|7778169	1.2577	exon	26.000	17.000	0.754	ENSG00000049245.13	VAMP3	protein_coding
chr1:7977652|7985135	0.0484	exon	1.000	17.000	0.105	ENSG00000116288.13	PARK7	protein_coding
chr1:8465925|8614686	0.1451	exon	3.000	5.000	0.545	ENSG00000221083.1,ENSG00000142599.19	ENSG00000221083,RERE	snoRNA,protein_coding
chr1:8495063|8508675	0.0967	exon	2.000	27.000	0.129	ENSG00000142599.19	RERE	protein_coding
chr1:8495063|8541318	0.1451	exon	3.000	74.000	0.075	ENSG00000221083.1,ENSG00000142599.19	ENSG00000221083,RERE	snoRNA,protein_coding
chr1:8495063|8557523	0.1935	exon	4.000	0.000	1.000	ENSG00000221083.1,ENSG00000142599.19	ENSG00000221083,RERE	snoRNA,protein_coding
chr1:8495063|8614686	0.0967	exon	2.000	0.000	1.000	ENSG00000221083.1,ENSG00000142599.19	ENSG00000221083,RERE	snoRNA,protein_coding
chr1:8508627|8614686	0.0967	exon	2.000	29.000	0.121	ENSG00000221083.1,ENSG00000142599.19	ENSG00000221083,RERE	snoRNA,protein_coding
chr1:8541214|8557523	0.2902	exon	6.000	28.000	0.300	ENSG00000142599.19	RERE	protein_coding
chr1:8541214|8614686	0.3870	exon	8.000	0.000	1.000	ENSG00000142599.19	RERE	protein_coding
chr1:8556475|8614686	0.0484	exon	1.000	6.000	0.250	ENSG00000142599.19	RERE	protein_coding
chr1:9730409|9751662	0.0484	exon	1.000	44.000	0.043	ENSG00000171603.18	CLSTN1	protein_coding
chr1:9871187|9877989	0.1935	exon	4.000	5.000	0.615	ENSG00000178585.15	CTNNBIP1	protein_coding
chr1:9931891|9934860	0.5321	exon	11.000	14.000	0.611	ENSG00000162441.12	LZIC	protein_coding
chr1:9931891|9935627	0.3870	exon	8.000	3.000	0.842	ENSG00000162441.12	LZIC	protein_coding
chr1:9972018|9981170	0.0967	exon	2.000	1.000	0.800	ENSG00000173614.14	NMNAT1	protein_coding
chr1:10095461|10105744	0.0484	exon	1.000	5.000	0.286	ENSG00000130939.20	UBE4B	protein_coding
chr1:10095461|10119613	0.0484	exon	1.000	34.000	0.056	ENSG00000130939.20	UBE4B	protein_coding
chr1:10117459|10135186	0.0484	exon	1.000	19.000	0.095	ENSG00000130939.20	UBE4B	protein_coding
chr1:10117459|10137205	0.0484	exon	1.000	0.000	1.000	ENSG00000130939.20	UBE4B	protein_coding
chr1:10117459|10158482	0.0967	exon	2.000	0.000	1.000	ENSG00000130939.20	UBE4B	protein_coding
chr1:10119513|10122076	0.0484	exon	1.000	26.000	0.071	ENSG00000130939.20	UBE4B	protein_coding
chr1:10126794|10129448	0.0484	exon	1.000	6.000	0.250	ENSG00000130939.20	UBE4B	protein_coding
